trace_x trace_y
1190.4309545526576 548
1197.7534641973286 598
1204.9960144983509 648
1211.974680023725 698
1218.6994400822803 748
1225.2163302496228 798
1231.4543854144285 848
1237.4700892763663 898
1243.142658509229 948
1248.7548883572033 998
1254.078888248544 1048
1259.1786151023857 1098
1264.0501682479924 1148
1268.7756306639299 1198
1273.2368611122624 1248
1277.5130612884266 1298
1281.5954413453867 1348
1285.4980470217572 1398
1289.1370757128836 1448
1292.5645991782412 1498
1295.872867986916 1548
1298.9347508758863 1598
1301.8555657323532 1648
1304.5598323364634 1698
1307.0170584196242 1748
1309.3000452692283 1798
1311.3991739316314 1848
1313.270836862924 1898
1314.9699192772343 1948
1316.500028047617 1998
1317.8559118753628 2048
1318.8367079397701 2098
1319.7970597281146 2148
1320.5574640084706 2198
1321.1329158888202 2248
1321.5226168216554 2298
1321.608080007296 2348
1321.5430775683683 2398
1321.3018680656467 2448
1320.8263294182966 2498
1320.104012391972 2548
1319.246631881827 2598
1318.161934971389 2648
1316.8307789502164 2698
1315.30043699283 2748
1313.5300406254728 2798
1311.5403309081835 2848
1309.3826726233824 2898
1307.0012371105702 2948
1304.3512763520034 2998
1301.46600456479 3048
1298.442838348488 3098
1295.194945829785 3148
1291.7543478303048 3198
1287.9416058552056 3248
