trace_x trace_y
1026.1332730150982 548
1033.3933531717087 598
1040.731945341346 648
1047.6924212600304 698
1054.5451877864216 748
1061.1043362697942 798
1067.474634585989 848
1073.5825477942992 898
1079.506076926422 948
1085.1382868840942 998
1090.6032464754785 1048
1095.875652341787 1098
1100.937737647928 1148
1105.806566731874 1198
1110.408394753886 1248
1114.8788827142378 1298
1119.1078249175723 1348
1123.0470513884832 1398
1126.9061310469483 1448
1130.510759947441 1498
1133.9347399473618 1548
1137.1406004142043 1598
1140.1290653946592 1648
1142.9413591910482 1698
1145.5499728909328 1748
1147.982849272345 1798
1150.179872173699 1848
1152.154937455284 1898
1153.974708946104 1948
1155.542846852242 1998
1156.9707060223548 2048
1158.0613681581501 2098
1159.1230905137547 2148
1159.9806409699565 2198
1160.584559049182 2248
1160.9951659448166 2298
1161.1721599070188 2348
1161.2113432510207 2398
1160.9721452747717 2448
1160.5454545565183 2498
1159.9310562446108 2548
1159.104296860015 2598
1158.0604990274473 2648
1156.806381950024 2698
1155.2945736392765 2748
1153.6782999966476 2798
1151.708212729079 2848
1149.6750107166356 2898
1147.29507766038 2948
1144.78837756102 2998
1142.0103931182969 3048
1139.152601161152 3098
1135.9350758891044 3148
1132.3307984977241 3198
1128.614068430618 3248
