trace_x trace_y
839.2377358490565 548
845.956783919598 598
853.2668168651433 648
860.5138162808066 698
867.4607223015711 748
874.1675712347354 798
880.6782735918068 848
886.9875173370319 898
893.0534779834078 948
898.9524552767439 998
904.5866110672828 1048
910.0159596808064 1098
915.250321814041 1148
920.3095459620395 1198
925.0692220180275 1248
929.7232038673112 1298
934.1343968871595 1348
938.33575677462 1398
942.3173990710968 1448
946.0753387897491 1498
949.7028797509405 1548
953.0356502934816 1598
956.2142983751846 1648
959.1273235260577 1698
961.8872497943515 1748
964.40683560477 1798
966.7516637845202 1848
968.8211241883117 1898
970.7440928703513 1948
972.4289412373803 1998
973.9255059043853 2048
975.1266083935067 2098
976.2923076923076 2148
977.229152067274 2198
977.9338971456999 2248
978.3862235495965 2298
978.6521481676426 2348
978.701228298909 2398
978.5337951148377 2448
978.1915022302866 2498
977.6336523125997 2548
976.8366040955632 2598
975.8511679438649 2648
974.6138777193526 2698
973.2110030191211 2748
971.6041718710967 2798
969.7492945823927 2848
967.7374939681519 2898
965.4834462001505 2948
962.9885083888761 2998
960.3585379464286 3048
957.5325966850829 3098
954.3924963924964 3148
951.0152418820411 3198
947.6304780876494 3248
