trace_x trace_y
84.47878787878788 548
91.05043859649123 598
98.05825242718447 648
105.39593908629442 698
112.5229151014275 748
119.50818639798489 798
126.19064748201438 848
133.35844017094018 898
139.85419411506368 948
146.72323879231473 998
154.72139303482587 1048
158.6248062015504 1098
164.04238618524332 1148
170.1436132674665 1198
175.88094373865698 1248
182.99468085106383 1298
186.08651976668827 1348
190.882618510158 1398
196.6558089033659 1448
202.46666666666667 1498
204.28692836908135 1548
208.23429648241205 1598
213.75174013921114 1648
216.14780405405406 1698
218.84620861516555 1748
221.77203525641025 1798
224.76567656765675 1848
227.17814344482204 1898
230.4717607973422 1948
231.59560067681895 1998
233.5980560320183 2048
235.15922920892496 2098
236.48826054026762 2148
237.96672794117646 2198
238.9499371596146 2248
239.84268645908762 2298
240.53301384451544 2348
240.772320540863 2398
240.9155260906758 2448
240.82655654383737 2498
240.49318864003695 2548
239.97986902740723 2598
239.27208756841281 2648
238.35630498533723 2698
237.20224719101122 2748
235.91601923788383 2798
234.29357798165137 2848
232.77265803503428 2898
230.82036713286715 2948
228.86377551020408 2998
226.56911447084232 3048
224.36102236421726 3098
221.85775862068965 3148
219.29193899782135 3198
216.78859060402684 3248
