trace_x trace_y
2349.7904397164843 24
2355.854363970219 74
2361.7863352752743 124
2367.530429582943 174
2373.000639493024 224
2378.3071432750935 274
2383.431988518691 324
2388.3752612052695 374
2393.0632546949855 424
2397.5859486781355 474
2401.992298109678 524
2406.1658067160856 574
2410.10283791199 624
2413.9305500110845 674
2417.4917491940223 724
2420.967587878794 774
2424.182511834395 824
2427.2271220639436 874
2430.039145001892 924
2432.731386769683 974
2435.136142375902 1024
2436.0 1024
2435.136142375902 1024
2437.2142158709466 1074
2439.3321635269235 1124
2441.249674494971 1174
2443.001432372526 1224
2444.5746800801726 1274
2445.911245814689 1324
2447.0731084318936 1374
2448.128864280923 1424
2448.935373776605 1474
2449.5016804374154 1524
2449.966715501881 1574
2450.169901430957 1624
2450.259805637341 1674
2450.1173270985014 1724
2449.809606194251 1774
2449.243687762111 1824
2448.5963938973646 1874
2447.6839988081047 1924
2446.6243423196906 1974
2445.3716196736436 2024
