trace_x trace_y
3574.773877102474 24
3580.0303801095956 74
3585.2582991273966 124
3590.273881019023 174
3595.093653054032 224
3599.8227419866435 274
3604.3533235453265 324
3608.636928657742 374
3612.7979227617548 424
3616.820428488375 474
3620.62405179793 524
3624.194829034725 574
3627.566297569904 624
3630.8205021084086 674
3633.8717693480908 724
3636.8028732632733 774
3639.5525670960205 824
3642.027345821047 874
3644.348971881778 924
3646.5084203962915 974
3648.526861257554 1024
3650.0 1024
3648.526861257554 1024
3649.886883396575 1074
3651.4312391587164 1124
3652.9454966695625 1174
3654.2095068257286 1224
3655.368826315281 1274
3656.2745279526102 1324
3657.047156212677 1374
3657.6386172703483 1424
3657.908910359635 1474
3658.0928471426755 1524
3658.2039408866995 1574
3657.99586107612 1624
3657.453282115015 1674
3657.014666478635 1724
3656.1695310224295 1774
3655.395012468828 1824
3654.2832742507253 1874
3653.0022291573787 1924
3651.6692491060785 1974
