trace_x trace_y
3607.1339042464 24
3612.4180782147296 74
3617.6743523487985 124
3622.699270065834 174
3627.6604105812717 224
3632.2402161450023 274
3636.842686884647 324
3641.169341168678 374
3645.2936779024385 424
3649.1679148280678 474
3652.9755060964426 524
3656.6652078910224 574
3660.0346288443516 624
3663.2504652029647 674
3666.3273362253517 724
3669.0847669952936 774
3671.8451868426755 824
3674.3074301238003 874
3676.6025321409243 924
3678.763991153293 974
3680.7530960215377 1024
3682.103747280694 1074
3683.746329476173 1124
3685.1470174865176 1174
3686.469401176878 1224
3687.54073991282 1274
3688.4503182389426 1324
3689.196890254927 1374
3689.723662207358 1424
3690.01820236003 1474
3690.303686029291 1524
3690.2311663479923 1574
3690.063595282707 1624
3689.725688816856 1674
3689.0311406578026 1724
3688.4015217391307 1774
3687.4396453089244 1824
3686.2221356196414 1874
3685.074131674443 1924
3683.7408934707905 1974
