trace_x trace_y
1399.1079647829354 24
1405.8784518115015 74
1412.3230830607918 124
1418.5885114982973 174
1424.6697278297781 224
1430.5845553773402 274
1436.2218723380604 324
1441.7533664467585 374
1447.0281238585503 424
1452.0511443371618 474
1456.9413979983362 524
1461.6490598546657 574
1466.0901686690047 624
1470.3542872123785 674
1474.4297352601823 724
1478.258665309907 774
1481.9378328387809 824
1485.3927940576336 874
1488.6513069651141 924
1491.7111940614943 974
1494.5104834735841 1024
1496.9730530474042 1074
1499.4149975795715 1124
1501.7241379310344 1174
1503.796188864717 1224
1505.659643652946 1274
1507.332887569077 1324
1508.8482699680121 1374
1510.092512936214 1424
1511.2182317090244 1474
1512.0936052927032 1524
1512.7806023569551 1574
1513.206845455876 1624
1513.5241499872327 1674
1513.584781212078 1724
1513.4440673298125 1774
1513.1385929934493 1824
1512.6382709096029 1874
1511.9053130765683 1924
1510.964976103859 1974
1509.856893298861 2024
