trace_x trace_y
1683.0237485887392 24
1689.4869600844095 74
1695.7781398122947 124
1701.9062766327515 174
1707.8381883346995 224
1713.5852331232381 274
1719.0802316214645 324
1724.3817243336687 374
1729.4968295922397 424
1734.4383571189317 474
1739.1156683657825 524
1743.6121321721853 574
1747.9851179592813 624
1752.0488607853888 674
1755.9912038534408 724
1759.7489110694494 774
1763.2613097207714 824
1766.5847854303495 874
1769.7325740921772 924
1772.6736511427093 974
1775.34048342359 1024
1777.6939897173568 1074
1780.0337814469794 1124
1782.2412151804076 1174
1784.2133809335953 1224
1785.9834419773492 1274
1787.51982823141 1324
1788.9432807288701 1374
1790.113800522154 1424
1791.1657276728129 1474
1791.9603311254855 1524
1792.5151877076228 1574
1792.9521106064653 1624
1793.1320780451877 1674
1793.196392969972 1724
1792.997819328283 1774
1792.5704552493032 1824
1792.037087453448 1874
1791.3197417931751 1924
1790.353605739496 1974
1789.2126713492694 2024
