trace_x trace_y
920.7831738595763 24
927.7927421480906 74
934.6337903983327 124
941.1744912801906 174
947.5299770819356 224
953.7060974603608 274
959.6752195491806 324
965.4154900024706 374
970.9957896932139 424
976.3335965619941 474
981.4721751772889 524
986.4152203819382 574
991.0940498052674 624
995.608624378376 674
999.953339896488 724
1004.0014343585392 774
1007.9148778595226 824
1011.6186042995068 874
1015.0861320677293 924
1018.3531519963534 974
1021.3578346445511 1024
1024.03350776434 1074
1026.705989492686 1124
1029.1328700787724 1174
1031.4166929814355 1224
1033.4526654994797 1274
1035.2910195167367 1324
1036.9463209843461 1374
1038.3413145006205 1424
1039.596481444927 1474
1040.6091587395194 1524
1041.4261722131187 1574
1042.0366517591108 1624
1042.466835001091 1674
1042.6132274742001 1724
1042.595290565117 1774
1042.4055567406144 1824
1041.9929876008032 1874
1041.3271536028494 1924
1040.5477215189874 1974
1039.5519341686556 2024
