trace_x trace_y
2456.131021190935 24
2462.0337031019426 74
2467.8944287268137 124
2473.4801993781957 174
2478.977829280074 224
2484.233932673709 274
2489.3058592471225 324
2494.1174035341405 374
2498.8577294944766 424
2503.317692713545 474
2507.601230913316 524
2511.7391000005728 574
2515.694871145429 624
2519.384179108232 674
2522.984881343854 724
2526.338310313733 774
2529.5190378989696 824
2532.5275543526122 874
2535.2816194843253 924
2537.936092230649 974
2540.313239199717 1024
2541.0 1024
2540.313239199717 1024
2542.333408779241 1074
2544.4103931282425 1124
2546.2818178445214 1174
2548.008781073002 1224
2549.5559317978486 1274
2550.85847619702 1324
2551.978528261642 1374
2552.9250656401755 1424
2553.6824452151977 1474
2554.289867177078 1524
2554.7576374745418 1574
2554.944381150787 1624
2554.9436036303387 1674
2554.7792105011804 1724
2554.447125554285 1774
2553.9308274701743 1824
2553.169179269248 1874
2552.3415539477824 1924
2551.270869265264 1974
2550.0305464204403 2024
