trace_x trace_y
2704.8370189270404 24
2710.7459018448208 74
2716.362978084535 124
2721.9223273856155 174
2727.2275654609275 224
2732.3622442857404 274
2737.3307436973505 324
2742.015022487279 374
2746.5188429192335 424
2750.9345897965104 474
2755.0944127762054 524
2759.0190173603683 574
2762.8462869270834 624
2766.4469603600696 674
2769.930308234259 724
2773.1767867053586 774
2776.246706162971 824
2779.085402768109 874
2781.837061033632 924
2784.323554368202 974
2786.5756234857167 1024
2787.0 1024
2786.5756234857167 1024
2788.480073316502 1074
2790.4692592120364 1124
2792.2917407910427 1174
2793.9444347741996 1224
2795.3276694540896 1274
2796.6408167108484 1324
2797.690108355368 1374
2798.5522187132224 1424
2799.2917339640057 1474
2799.839365582526 1524
2800.099209413495 1574
2800.3097613135646 1624
2800.266112841814 1674
2800.0471672539984 1724
2799.6484669028114 1774
2798.9842649944217 1824
2798.1694148401366 1874
2797.312194227006 1924
2796.19531312485 1974
2794.9280829724185 2024
