trace_x trace_y
3790 24
3796.37255939168 74
3801.503960997523 124
3808.4024919311955 174
3813.086016580739 224
3817.40475248722 274
3821.6973451163312 324
3825.874308505875 374
3829.9690929751437 424
3833.8105291120733 474
3837.6871956954164 524
3841.029168527766 574
3844.2942180611017 624
3847.461081554379 674
3850.462453670412 724
3853.068390800287 774
3855.7534120165833 824
3858.161054154726 874
3860.3157495337273 924
3862.352620702049 974
3864.319637345679 1024
3865.1277524300735 1074
3866.560557125555 1124
3867.8511716276125 1174
3868.9119440054187 1224
3869.9186217008796 1274
3870.6047774158524 1324
3871.2655727742326 1374
3871.880042462845 1424
3871.912092283214 1474
3871.9335457441966 1524
3871.8027867095393 1574
3871.434974747475 1624
3871 1724
3870 1824
3867 1924
