trace_x trace_y
3473.794937620903 24
3479.249822080928 74
3484.471405017019 124
3489.566544303226 174
3494.5470364300036 224
3499.1963962297204 274
3503.8700780037207 324
3508.1696324136537 374
3512.3942582434815 424
3516.4140179471797 474
3520.176206699096 524
3523.8739295904443 574
3527.2973075113414 624
3530.5931647934485 674
3533.6854596006315 724
3536.658821415249 774
3539.330259387482 824
3541.9650884418966 874
3544.316769688796 924
3546.520163430316 974
3548.557503314874 1024
3550.0 1024
3548.557503314874 1024
3549.983553998694 1074
3551.584174093096 1124
3553.163744943171 1174
3554.536882197832 1224
3555.6685188316865 1274
3556.6271454088896 1324
3557.4090306942135 1374
3558.0089913618704 1424
3558.5001793271645 1474
3558.7001330591506 1524
3558.674625127384 1574
3558.562573999526 1624
3558.262347012239 1674
3557.8306689291776 1724
3557.0953194396993 1774
3556.254172989378 1824
3555.2338422924076 1874
3553.9673721340387 1924
3552.3997655334115 1974
3551.0055679287307 2024
