trace_x trace_y
3762 24
3768.3965936623413 74
3773.4580592222733 124
3778.346728323883 174
3783.052008721002 224
3787.7531459219626 274
3792.083413456249 324
3796.276524660648 374
3800.3368361576972 424
3804.0945228242185 474
3807.8798668715963 524
3811.2828328780342 574
3814.5595102658704 624
3817.7479433560156 674
3820.7405104410086 724
3823.6152601335393 774
3826.1522077278873 824
3828.547746898625 874
3830.774594965255 924
3832.841141741444 974
3834.8158673771463 1024
3835.7871544126524 1074
3837.1454497976238 1124
3838.678209116732 1174
3839.790096082779 1224
3840.7594728171334 1274
3841.5683890577507 1324
3842.2547227300424 1374
3842.794204211003 1424
3842.9852079263187 1474
3842.9252931323285 1524
3842.8732188527583 1574
3842.667412712623 1624
3842.193529751589 1674
3842 1724
3841 1824
3839 1924
