trace_x trace_y
3732.658347701888 24
3737.78508927705 74
3742.8738632822256 124
3747.859175678566 174
3752.734615395868 224
3757.279137757 274
3761.896534798724 324
3766.1171000978566 374
3770.203919029633 424
3774.05042016693 474
3777.787445561153 524
3781.265504280629 574
3784.5703631953425 624
3787.7584196754865 674
3790.817528741912 724
3793.6678745064805 774
3796.2373446434135 824
3798.598478295597 874
3800.8425471353926 924
3802.9603603696123 974
3804.9334961783943 1024
3806.0791680103193 1074
3807.6448123803975 1124
3808.94009340758 1174
3810.1068297851843 1224
3811.2819031614326 1274
3812.129669283845 1324
3812.7751495377925 1374
3813.1931013706885 1424
3813.4732465654374 1474
3813.649764415526 1524
3813.467535787321 1574
3813.1315706641485 1624
3812.8321513002365 1674
3811.9578373015875 1724
3810.956162642948 1774
3811 1824
3809 1924
