trace_x trace_y
3140.203124117263 24
3145.9064925734997 74
3151.320652188772 124
3156.5414455596747 174
3161.627342109461 224
3166.549708866841 274
3171.205209681868 324
3175.7916755965184 374
3180.122145586351 424
3184.2664346219544 474
3188.1590398951944 524
3191.98456576512 574
3195.664620573436 624
3199.0664246924866 674
3202.3006298571345 724
3205.3910209676515 774
3208.195595621795 824
3210.919821132494 874
3213.430330082263 924
3215.77002673774 974
3217.93642172857 1024
3219.0 1024
3217.93642172857 1024
3219.5436927338587 1074
3221.3858887588976 1124
3223.0519290566526 1174
3224.558039197687 1224
3225.801742261315 1274
3226.889281077061 1324
3227.7905206184855 1374
3228.5483004538296 1424
3229.142031573804 1474
3229.556732970242 1524
3229.7147492887625 1574
3229.6656894566013 1624
3229.509155438299 1674
3229.147765655938 1724
3228.6503737780336 1774
3227.8623955431754 1824
3226.8959734329596 1874
3225.8434762294123 1924
3224.658936557893 1974
3223.196411012783 2024
