trace_x trace_y
1815.8710649452262 24
1822.2464470007853 74
1828.4690352131602 124
1834.52374971551 174
1840.2962190577146 224
1845.9769579303627 274
1851.377828388955 324
1856.6301746547274 374
1861.6722725312407 424
1866.5371450969847 474
1871.153643407506 524
1875.5837700731047 574
1879.8301161799538 624
1883.8976657409014 674
1887.7680734981543 724
1891.40664280348 774
1894.9278519240913 824
1898.1883562681096 874
1901.2740664392672 924
1904.1129223181454 974
1906.7329117778772 1024
1909.0267827227558 1074
1911.3725597841594 1124
1913.4801302664575 1174
1915.400483003039 1224
1917.1464586872053 1274
1918.7063352044909 1324
1920.0235110121937 1374
1921.216898371545 1424
1922.1723190339048 1474
1922.9287656390547 1524
1923.4544341265234 1574
1923.8577809789167 1624
1924.0110976412316 1674
1924.0428339550201 1724
1923.8284782647859 1774
1923.3790789417264 1824
1922.8052604546806 1874
1922.0074472342574 1924
1921.0731846378399 1974
1919.9448540520941 2024
