trace_x trace_y
3059.150654410721 24
3064.8707766366974 74
3070.2884153422997 124
3075.5455986899265 174
3080.6729993812874 224
3085.629614852648 274
3090.2996742858554 324
3094.92280411749 374
3099.2808465933126 424
3103.474017294544 474
3107.4926061426345 524
3111.238366142022 574
3114.947665980485 624
3118.4018193668826 674
3121.6520860991423 724
3124.778571591101 774
3127.7087265289842 824
3130.4930637061757 874
3133.0073604016766 924
3135.3696650792676 974
3137.563568831525 1024
3139.0 1024
3137.563568831525 1024
3139.2061400549424 1074
3141.078139488509 1124
3142.781826751859 1174
3144.2037314640065 1224
3145.5775786886547 1274
3146.678818097876 1324
3147.5816803853254 1374
3148.363284459331 1424
3148.9880461364382 1474
3149.291182813537 1524
3149.6137875019035 1574
3149.614255515527 1624
3149.446479534699 1674
3149.137962283692 1724
3148.6307470524634 1774
3147.8455849537777 1824
3146.9502428150627 1874
3145.9102740450744 1924
3144.7155822181203 1974
3143.372667910448 2024
