trace_x trace_y
2004.8914471219216 24
2011.1732130610599 74
2017.2646198292648 124
2023.1140157461055 174
2028.8654404363795 224
2034.3553167865432 274
2039.660774415376 324
2044.8064199802864 374
2049.7607668143846 424
2054.52205580202 474
2059.041642755544 524
2063.369494664776 574
2067.5324935738413 624
2071.51202976347 674
2075.2319298290813 724
2078.8448211186765 774
2082.2182468303654 824
2085.3971892505865 874
2088.408420378425 924
2091.181784604127 974
2093.7682673082236 1024
2095.9070395386625 1074
2098.1382738346238 1124
2100.245415639373 1174
2102.1075785933554 1224
2103.7983697390373 1274
2105.2431156676657 1324
2106.5641539506196 1374
2107.6535491603076 1424
2108.534272259288 1474
2109.263573342304 1524
2109.8119001416057 1574
2110.0984972877877 1624
2110.269312221836 1674
2110.209523256152 1724
2109.943804858363 1774
2109.464573373519 1824
2108.879558375216 1874
2108.0320402937377 1924
2107.126581213362 1974
2105.9475476572593 2024
