trace_x trace_y
1087.8940178518626 24
1094.8213362518463 74
1101.5788936942843 124
1108.0249193470272 174
1114.2881081441096 224
1120.3639087732408 274
1126.1761845128904 324
1131.876509006219 374
1137.3105272659868 424
1142.569501208443 474
1147.610635618569 524
1152.4856718015901 574
1157.0861328789842 624
1161.5064828780692 674
1165.7432339609431 724
1169.7767522964646 774
1173.5968413259461 824
1177.1662995473607 874
1180.5477774943108 924
1183.7513784164253 974
1186.6739182922463 1024
1189.2787103390183 1074
1191.8887297498977 1124
1194.2418682100363 1174
1196.4716885620333 1224
1198.4494826111275 1274
1200.243229746372 1324
1201.8420944486704 1374
1203.1816726147667 1424
1204.386221156388 1474
1205.351471266992 1524
1206.1209105263158 1574
1206.6918322892218 1624
1207.013744067255 1674
1207.1896403092567 1724
1207.1415075376885 1774
1206.8815923753405 1824
1206.3714118460966 1874
1205.7406961843242 1924
1204.8611097271353 1974
1203.8182089234374 2024
