trace_x trace_y
1544.2065102735519 24
1550.8634879691303 74
1557.246322772717 124
1563.439055145874 174
1569.4491496731148 224
1575.1880599214314 274
1580.8299284593447 324
1586.219761465884 374
1591.4035994980038 424
1596.4230940189618 474
1601.1686829787805 524
1605.802852879877 574
1610.1798754932784 624
1614.383755285609 674
1618.3833895769149 724
1622.146722711366 774
1625.7749053966475 824
1629.1584504716377 874
1632.3529742389362 924
1635.3508294633648 974
1638.0836633261804 1024
1640.4949698114742 1074
1642.8844021825655 1124
1645.0780709716062 1174
1647.146164568379 1224
1648.983624969542 1274
1650.5704073941847 1324
1652.0180960198657 1374
1653.2917422828489 1424
1654.308431854789 1474
1655.1468454583335 1524
1655.796600156797 1574
1656.203286109481 1624
1656.4724271651587 1674
1656.496091032192 1724
1656.3346247519003 1774
1655.9951276102088 1824
1655.4098462432632 1874
1654.719267130121 1924
1653.7737123613313 1974
1652.6473831381238 2024
